name,link_player_page,slug,player_id,team,tournament_name_new
Antonino Gallo,https://fbref.com/en/players/c74d63ac/Antonino-Gallo,antonino-gallo,c74d63ac,Lecce,Serie A
Antoine Makoumbou,,antoine-makoumbou,,Cagliari,Serie A
Vakoun Issouf Bayo,https://fbref.com/en/players/132f161f/Vakoun-Issouf-Bayo,vakoun-issouf-bayo,132f161f,Udinese,Serie A
Charalampos Lykogiannis,https://fbref.com/en/players/5efc5389/Charalampos-Lykogiannis,charalampos-lykogiannis,5efc5389,Bologna,Serie A
Martin Erlic,https://fbref.com/en/players/0fee6bda/Martin-Erlic,martin-erlic,0fee6bda,Bologna,Serie A
Santiago Castro,,santiago-castro,,Bologna,Serie A
Assane Diao,,assane-diao,,Como,Serie A
Edoardo Goldaniga,https://fbref.com/en/players/4b029b31/Edoardo-Goldaniga,edoardo-goldaniga,4b029b31,Como,Serie A
Jean Butez,https://fbref.com/en/players/7f40333d/Jean-Butez,jean-butez,7f40333d,Como,Serie A
Nico Paz,,nico-paz,,Como,Serie A
Yannik Engelhardt,,yannik-engelhardt,,Como,Serie A
Tommaso Martinelli,,tommaso-martinelli,,Fiorentina,Serie A
Nicholas Bonfanti,https://fbref.com/en/players/d3e93b43/Nicholas-Bonfanti,nicholas-bonfanti,d3e93b43,Pisa,Serie A
