slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price,prezzo_medio
stanislav-lobotka,C,Napoli,30.0,30.0,28.0,1,6.08,6.04,0.07,1.17,0.0,3.17,5.0
abdou-harroui,C,Verona,16.0,16.0,7.0,0,6.19,5.98,1.98,1.93,0.0,2.3,1.0
antonio-caracciolo,D,Pisa,33.0,33.0,32.0,1,5.84,5.81,0.93,0.2,0.0,3.08,1.0
antonino-gallo,D,Lecce,26.0,26.0,25.0,1,5.83,5.79,0.05,0.89,0.0,2.98,3.0
ylber-ramadani,C,Lecce,29.0,29.0,24.0,1,5.92,5.86,0.95,1.16,0.0,2.0,0.0
alessandro-circati,D,Parma,28.0,28.0,27.0,1,5.82,5.8,1.0,0.0,0.0,2.42,1.0
adrian-semper,P,Pisa,10.0,10.0,9.0,1,5.44,6.39,0.0,0.0,2.99,1.94,1.0
marco-silvestri,P,Cremonese,13.0,13.0,12.0,0,4.79,6.07,0.0,0.0,2.72,1.08,1.0
orir-johann-helgason,C,Lecce,17.0,17.0,11.0,0,6.03,5.87,1.31,1.89,0.0,3.22,1.0
marius-marin,C,Pisa,32.0,32.0,28.0,1,5.92,5.83,0.8,1.21,0.0,2.38,1.0
danilo-veiga,D,Lecce,26.0,26.0,17.0,0,5.74,5.62,0.39,1.66,0.0,1.38,1.0
billy-gilmour,C,Napoli,20.0,20.0,13.0,0,5.99,5.9,0.47,1.48,0.0,2.05,1.0
juan-david-cabal,D,Juventus,13.0,13.0,8.0,0,5.87,5.82,0.02,0.58,0.0,2.25,2.0
jesper-karlstrom,C,Udinese,29.0,29.0,28.0,1,5.82,5.74,0.51,1.16,0.0,2.22,1.0
toma-basic,C,Lazio,16.0,16.0,11.0,0,5.89,5.81,1.19,0.61,0.0,0.48,0.0
samuele-ricci,C,Milan,23.0,23.0,16.0,0,6.09,6.02,1.32,0.96,0.0,5.94,6.0
enzo-ebosse,D,Verona,16.0,16.0,12.0,0,5.73,5.72,0.0,0.09,0.0,1.96,1.0
stefano-turati,P,Sassuolo,10.0,10.0,9.0,0,4.63,6.22,0.0,0.0,2.07,2.73,2.0
nicolo-rovella,C,Lazio,21.0,21.0,15.0,0,6.13,6.03,0.03,2.1,0.0,2.97,1.0
michele-castagnetti,C,Cremonese,30.0,30.0,25.0,1,5.86,5.77,0.59,1.29,0.0,1.68,1.0
edoardo-goldaniga,D,Como,25.0,25.0,23.0,1,5.78,5.74,1.1,0.23,0.0,1.67,0.0
gaby-jean,D,Lecce,34.0,34.0,32.0,1,5.69,5.67,0.12,0.32,0.0,1.27,0.0
marko-rog,C,Cagliari,19.0,19.0,13.0,0,5.97,5.87,1.05,1.31,0.0,0.46,0.0
corrie-ndaba,D,Lecce,21.0,21.0,18.0,0,5.81,5.77,0.77,0.47,0.0,0.63,0.0
lorenzo-pellegrini,C,Roma,18.0,18.0,7.0,1,6.07,6.01,1.02,1.21,0.0,5.67,2.0
patrizio-masini,C,Genoa,19.0,19.0,17.0,0,6.11,6.06,1.23,0.36,0.0,1.78,1.0
cesare-casadei,C,Torino,26.0,26.0,22.0,0,6.03,5.94,1.53,0.48,0.0,7.2,8.0
alex-valle,D,Como,20.0,20.0,17.0,0,5.88,5.76,0.04,2.31,0.0,3.58,6.5
grigoris-kastanos,C,Verona,17.0,17.0,10.0,0,6.05,5.95,1.13,0.95,0.0,1.78,0.0
devis-vasquez,P,Roma,4.0,4.0,4.0,1,5.11,6.16,0.0,0.0,4.92,0.92,1.0
cristian-volpato,C,Sassuolo,9.0,9.0,3.0,0,6.45,5.93,1.77,1.5,0.0,2.05,1.0
matteo-prati,C,Cagliari,22.0,22.0,16.0,0,5.92,5.85,1.0,1.03,0.0,1.86,3.0
adrien-tameze,C,Torino,24.0,24.0,21.0,1,5.96,5.87,0.0,2.07,0.0,1.86,0.0
konan-ndri,A,Lecce,28.0,28.0,15.0,0,5.87,5.75,0.95,1.45,0.0,2.88,1.0
mattia-perin,P,Juventus,6.0,6.0,6.0,1,5.49,6.1,0.0,0.0,1.75,1.58,1.0
lassana-coulibaly,C,Lecce,27.0,27.0,21.0,1,6.0,5.96,0.92,0.58,0.0,3.25,1.0
nicola-zalewski,C,Atalanta,16.0,16.0,6.0,0,6.0,5.92,0.88,0.9,0.0,3.72,5.0
arturo-calabresi,D,Pisa,22.0,22.0,16.0,0,5.95,5.86,0.69,0.84,0.0,1.84,1.0
daniel-oyegoke,D,Verona,15.0,15.0,10.0,0,5.89,5.86,0.32,0.2,0.0,1.28,0.0
edoardo-pieragnolo,D,Sassuolo,11.0,11.0,11.0,0,5.78,5.66,0.53,0.55,0.0,1.28,0.0
alberto-grassi,C,Cremonese,20.0,20.0,18.0,0,5.95,5.9,0.59,0.77,0.0,1.6,0.0
adrian-rus,D,Pisa,18.0,18.0,12.0,0,6.0,5.94,1.22,0.39,0.0,0.64,0.0
martin-payero,C,Cremonese,15.0,15.0,7.0,0,6.08,5.92,1.34,1.52,0.0,1.68,1.5
mehdi-leris,C,Pisa,22.0,22.0,15.0,0,5.88,5.76,1.08,0.95,0.0,0.51,0.0
alessandro-deiola,C,Cagliari,20.0,20.0,12.0,0,5.87,5.79,1.13,0.88,0.0,1.78,1.0
warren-bondo,C,Cremonese,19.0,19.0,8.0,0,5.96,5.87,1.66,0.72,0.0,2.45,1.0
razvan-sava,P,Udinese,8.0,8.0,8.0,0,4.61,6.0,0.0,0.0,1.99,1.86,1.0
laurs-skjellerup,A,Sassuolo,3.0,3.0,1.0,0,5.88,5.88,0.37,0.13,0.0,0.34,0.0
damian-pizarro,A,Udinese,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,1.25,1.0
lameck-banda,A,Lecce,12.0,12.0,8.0,0,6.16,5.99,0.77,1.66,0.0,1.84,1.0
henrik-meister,A,Pisa,7.0,7.0,3.0,0,6.02,5.73,1.36,0.35,0.0,4.06,1.0
youssef-maleh,C,Lecce,22.0,22.0,16.0,0,5.86,5.8,0.5,1.2,0.0,0.78,0.0
mohamed-kaba,C,Lecce,25.0,25.0,18.0,0,5.88,5.83,0.09,1.11,0.0,0.89,0.0
gvidas-gineitis,C,Torino,9.0,9.0,5.0,0,5.94,5.91,0.3,0.16,0.0,1.76,0.0
mattia-felici,C,Cagliari,15.0,15.0,6.0,0,6.13,5.83,0.56,2.33,0.0,1.95,0.0
ebenezer-akinsanmiro,C,Pisa,6.0,6.0,3.0,0,5.96,5.85,0.29,0.23,0.0,1.95,0.0
maximo-perrone,C,Como,24.0,24.0,19.0,1,5.95,5.92,0.04,0.73,0.0,2.52,1.0
